"Construcciones y Obras Llorente, S.A. y Grupo Rodio Kronsa",Grupo Rodio Kronsa,Grupo Rodio Kronsa
"CONSTRUCTORA INTERURBANA, S.A.-INGENIERÍA INDUSTRIAL IBÉRICA",Constructora Interurbana,Constructora Interurbana
"CONSTRUCTORA INTERURBANA, S.A.-INGENIERÍA INDUSTRIAL IBÉRICA",Ingeniería Industrial Ibérica,Ingeniería Industrial Ibérica
"Constructora San José, S.A., y Asfaltos y Construcciones Ucop","Asfaltos y Construcciones Ucop, S.A.","Asfaltos y Construcciones Ucop, S.A."
"Constructora San José, S.A., y Asfaltos y Construcciones Ucop",Constructora San José,Grupo SANJOSE
"Copisa Constructora Pirenaica, S.A. y Vialex Roldán Constructora Aragonesa","Copisa, Constructora Pirenaica",COPISA
"Copisa Constructora Pirenaica, S.A. y Vialex Roldán Constructora Aragonesa","Vialex, Constructora Aragonesa",Sorigué
"Degremont, S.A. y Brues y Fernández Construcciones","Brues y Fernández Construcciones, S.A.","Brues y Fernández Construcciones, S.A."
"Degremont, S.A. y Brues y Fernández Construcciones","Degremont, S.A.","Degremont, S.A."
Dragados - Iza Obras y Promociones,Dragados,ACS
Dragados - Iza Obras y Promociones,"Iza, Obras y Promociones","Iza, Obras y Promociones"
"Dragados, S.A. – Tecsa Empresa Constructora",Dragados,ACS
"Dragados, S.A. – Tecsa Empresa Constructora",Tecsa Empresa Constructora,ACS
"Dragados, S.A. y Geotecnia y Cimientos",Dragados,ACS
"Dragados, S.A. y Geotecnia y Cimientos",Geotécnia y Cimientos,ACS
"EDAR ampliación de Valladolid (Aqualogy S.A.U. y Zarzuela, S.A.).",Aqualogy,Agbar
"EDAR ampliación de Valladolid (Aqualogy S.A.U. y Zarzuela, S.A.).",Zarzuela Empresa Constructora,Zarzuela Empresa Constructora
"ERAS DE SANTA LUCÍA UTE UTE SAICO, S.A. INTAGUA DE CONSTRUCCIONES Y SERVICIOS, HERMASAN CONSTRUCTORA SLU Y RAYET CONSTRUCCIÓN",Hermasan Constructora,Hermasan Constructora
"ERAS DE SANTA LUCÍA UTE UTE SAICO, S.A. INTAGUA DE CONSTRUCCIONES Y SERVICIOS, HERMASAN CONSTRUCTORA SLU Y RAYET CONSTRUCCIÓN",INTAGUA DE CONSTRUCCIONES Y SERVICIOS,INTAGUA DE CONSTRUCCIONES Y SERVICIOS
"ERAS DE SANTA LUCÍA UTE UTE SAICO, S.A. INTAGUA DE CONSTRUCCIONES Y SERVICIOS, HERMASAN CONSTRUCTORA SLU Y RAYET CONSTRUCCIÓN",RAYET Construcción,RAYET Construcción
"ERAS DE SANTA LUCÍA UTE UTE SAICO, S.A. INTAGUA DE CONSTRUCCIONES Y SERVICIOS, HERMASAN CONSTRUCTORA SLU Y RAYET CONSTRUCCIÓN","SAICO, S.A.","SAICO, S.A."
"Etralux, S.A.; Imesapi, S.A.; Urbalux, S.A.; Citelum Ibérica, S.A.; Sociedad Ibérica de Construcciones Eléctricas",Citelum Ibérica,Citelum Ibérica
"Etralux, S.A.; Imesapi, S.A.; Urbalux, S.A.; Citelum Ibérica, S.A.; Sociedad Ibérica de Construcciones Eléctricas",Etralux,ACS
"Etralux, S.A.; Imesapi, S.A.; Urbalux, S.A.; Citelum Ibérica, S.A.; Sociedad Ibérica de Construcciones Eléctricas",Imesapi,ACS
"Etralux, S.A.; Imesapi, S.A.; Urbalux, S.A.; Citelum Ibérica, S.A.; Sociedad Ibérica de Construcciones Eléctricas",Urbalux,Urbalux
"Euritmia Construcciones S.A. , y Ingisa Servicios",Euritmia Construcciones S.A.,Euritmia Construcciones S.A.
"Euritmia Construcciones S.A. , y Ingisa Servicios",Ingisa Servicios,Ingisa Servicios
"Fcc Construcción, S.A. y Acciona Infraestructuras",Acciona Infraestructuras,Acciona
"Fcc Construcción, S.A. y Acciona Infraestructuras",FCC,FCC
"FCC Construcción, S.A. y Amer e Hijos",Amer e Hijos,Amer e Hijos
"FCC Construcción, S.A. y Amer e Hijos",FCC,FCC
"GALBARRIATU (PROYECTOS Y OBRAS PABISA, S.A. – SACYR, S.A.).",Proyectos y Obras Pabisa,Proyectos y Obras Pabisa
"GALBARRIATU (PROYECTOS Y OBRAS PABISA, S.A. – SACYR, S.A.).",SACYR,Sacyr
Hormigones Sierra S.L.U. y Seanto,Hormigones Sierra S.L.U.,Hormigones Sierra S.L.U.
Hormigones Sierra S.L.U. y Seanto,Seanto,Seanto
"IMECSA/UTE Agrupación Guinovart Obras y Servicios Hispania, S.A., y Obrascón Huarte Lain",Agrupación Guinovart Obras y Servicios Hispania,Grupo Villar Mir
"IMECSA/UTE Agrupación Guinovart Obras y Servicios Hispania, S.A., y Obrascón Huarte Lain",IMECSA,IMECSA
"IMECSA/UTE Agrupación Guinovart Obras y Servicios Hispania, S.A., y Obrascón Huarte Lain",Obrascón Huarte Lain,Grupo Villar Mir
"Imesapi, S.A. - Andobras, S.A. .",Andobras,Andobras
"Imesapi, S.A. - Andobras, S.A. .",Imesapi,ACS
"Imesapi, S.A. - Cominsa, Empresa Constructora","Cominsa Empresa Constructora, S.A.","Cominsa Empresa Constructora, S.A."
"Imesapi, S.A. - Cominsa, Empresa Constructora",Imesapi,ACS
"IMESAPI, S.A., FIRMES ALAVESES, S.A. Y ESTEVEZ CONDUCTOS SUBTERRÁNEOS",ESTEVEZ CONDUCTOS SUBTERRÁNEOS,ESTEVEZ CONDUCTOS SUBTERRÁNEOS
"IMESAPI, S.A., FIRMES ALAVESES, S.A. Y ESTEVEZ CONDUCTOS SUBTERRÁNEOS","FIRMES ALAVESES, S.A.","FIRMES ALAVESES, S.A."
"IMESAPI, S.A., FIRMES ALAVESES, S.A. Y ESTEVEZ CONDUCTOS SUBTERRÁNEOS",Imesapi,ACS
"Imtech Spain, SL –Constructora de Calf, SAU, UTE.UTE Nutrició URV",Constructora de Calaf,Constructora de Calaf
"Imtech Spain, SL –Constructora de Calf, SAU, UTE.UTE Nutrició URV","Imtech Spain, SL","Imtech Spain, SL"
"Indra Sistemas, S.A. / Puentes y Calzadas Infraestructuras",Indra Sistemas,Indra Sistemas
"Indra Sistemas, S.A. / Puentes y Calzadas Infraestructuras",Puentes y Calzadas Infraestructuras,Puentes y Calzadas Infraestructuras
"Ingeniería de Proyectos, Servicios y Obras, S.A. e Hidrocaex, S.L.",Hidrocaex,Hidrocaex
"Ingeniería de Proyectos, Servicios y Obras, S.A. e Hidrocaex, S.L.","Ingeniería de Proyectos, Servicios y Obras","Ingeniería de Proyectos, Servicios y Obras"
"Ingenieros, Construcción y Naves, S.L., y Excade, S.L., UTE","Excade, S.L.","Excade, S.L."
"Ingenieros, Construcción y Naves, S.L., y Excade, S.L., UTE","Ingenieros, Construcción y Naves, S.L.","Ingenieros, Construcción y Naves, S.L."
"Iniciativas para la Construcción y Obra Civil, S.L. (INCOC, S.L.) y Montajes Eléctricos Contreras",Iniciativas para la Construcción y Obra Civil,Iniciativas para la Construcción y Obra Civil
"Iniciativas para la Construcción y Obra Civil, S.L. (INCOC, S.L.) y Montajes Eléctricos Contreras",Montajes Eléctricos Contreras,Montajes Eléctricos Contreras
"Ipocsa-Inversiones, Proyectos y Obras Civiles, S.A., Equipamientos Blaslo, S.L. y Hormigones Grañen",Equipamientos Blaslo,Equipamientos Blaslo
"Ipocsa-Inversiones, Proyectos y Obras Civiles, S.A., Equipamientos Blaslo, S.L. y Hormigones Grañen",Hormigones Grañén,Hormigones Grañén
